,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Qaqortoq,94,GL,1612494126,38,60.7167,-46.0333,264.15,1.54
1,Souillac,20,MU,1612494126,83,-20.5167,57.5167,297.15,1.03
2,Berdigestyakh,10,RU,1612494126,83,62.0989,126.6992,239.92,1.99
3,Payo,78,ID,1612494127,79,-3.7508,103.6372,299.22,2.17
4,Rikitea,100,PF,1612494127,68,-23.1203,-134.9692,299.17,5.16
5,Farnes,0,NO,1612494127,68,61.3167,7.8,257.12,2.01
6,Ushuaia,40,AR,1612494127,81,-54.8,-68.3,280.15,15.43
7,Augustów,0,PL,1612494127,95,53.8432,22.9798,260.3,2.5
8,Camacha,75,PT,1612494127,66,33.0833,-16.3333,285.15,9.77
9,Faanui,0,PF,1612494127,66,-16.4833,-151.75,300.86,2.11
